trackIsexplicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,songIsLiked
0,85,98,29,28,99,83,79,99,96,78,1
0,82,99,77,32,99,80,79,99,91,74,1
0,83,97,4,93,99,84,80,99,96,30,1
0,90,92,29,43,99,98,100,99,89,87,1
0,91,81,4,85,99,99,100,99,95,98,1
0,87,93,50,43,99,93,100,99,92,67,1
1,92,93,29,0,99,91,100,99,98,63,1
0,95,97,17,77,99,81,100,99,96,59,1
1,91,92,100,97,99,91,100,99,99,92,0
0,87,87,64,46,99,97,99,98,94,94,1
1,92,91,98,88,99,92,100,99,90,5,0
0,88,91,29,0,99,93,100,99,95,96,0
0,90,88,29,88,99,98,100,99,96,98,1
0,90,90,100,70,99,99,100,98,88,86,1
0,89,87,42,64,99,95,100,99,93,54,0
0,95,99,64,85,99,79,84,99,98,13,1
0,92,99,8,1,99,78,83,99,98,20,1
0,98,99,0,6,99,82,99,99,99,93,1
0,92,99,100,96,99,79,98,99,97,1,1
0,93,99,100,16,99,77,80,99,97,99,1
0,95,99,0,99,99,78,83,99,99,2,1
0,86,89,17,34,99,95,100,99,89,0,0
1,94,90,42,56,98,95,100,99,92,37,0
0,92,85,87,70,99,97,100,97,91,0,0
0,90,96,17,48,99,98,100,99,98,99,1
0,89,81,50,38,99,99,100,99,89,44,0
0,84,89,8,4,98,99,100,99,89,21,0
0,91,86,100,55,99,99,100,99,99,68,0
0,88,82,98,88,99,99,100,97,78,93,1
0,84,97,87,65,99,97,85,99,92,28,1
0,88,96,64,50,99,79,80,99,88,2,1
0,86,94,50,98,99,98,79,99,98,52,1
0,90,99,100,52,99,81,79,99,98,8,1
0,86,92,29,26,99,98,81,99,99,6,1
0,88,95,98,8,99,99,93,99,91,58,1
0,91,94,100,74,99,99,90,99,98,38,1
0,95,99,100,95,97,99,86,99,97,34,1
0,94,93,42,11,99,99,81,99,96,24,1
0,86,97,8,99,99,99,84,99,82,33,1
0,86,96,64,10,99,99,85,99,87,84,1
0,88,93,8,72,99,98,82,99,99,0,1
0,89,97,77,99,99,99,83,99,99,1,1
0,97,93,100,37,99,99,99,99,97,23,1
0,93,99,8,3,99,78,81,99,99,0,1
0,93,99,0,27,99,79,81,99,99,51,1
0,94,99,8,57,99,80,89,99,99,74,1
0,95,98,0,5,99,78,80,99,98,48,1
0,92,89,64,30,98,90,100,99,96,83,0
1,85,87,29,96,98,93,100,99,80,19,0
0,89,83,87,62,99,95,100,98,84,87,0
0,90,79,4,57,99,99,99,99,92,97,0
0,92,87,100,22,99,98,100,99,87,25,1
0,92,90,0,86,99,99,100,99,88,7,1
0,87,87,4,94,97,96,100,99,88,28,1
