trackIsexplicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,songIsLiked
1,599,317,1000,-11212,174,748,0,111,203,148090,1
1,656,330,8000,-8771,162,818,3,107,349,119057,1
1,802,463,8000,-8379,162,236,5,105,291,103961,0
1,516,546,5000,-9105,249,814,0,99,515,78267,1
1,787,472,6000,-10032,113,640,0,110,264,144998,0
1,622,229,1000,-11322,44,768,9,134,99,81870,0
1,791,557,7000,-9622,69,540,0,103,284,119973,1
1,533,496,6000,-9363,517,770,0,96,173,155158,0
1,576,556,0,-6474,231,812,125,94,294,148173,0
1,492,559,5000,-8335,194,96,0,486,554,82037,0
1,800,569,9000,-5104,265,563,0,111,589,92063,0
1,465,225,4000,-12637,45,948,1,180,207,57750,1
0,861,330,6000,-7194,52,627,0,140,718,95016,0
1,716,936,1000,-4968,123,31,0,367,799,81508,1
1,682,934,4000,-2526,129,107,0,749,487,109032,1
1,569,881,11000,-5873,365,111,0,655,811,148067,1
1,545,534,8000,-6874,47,235,0,345,240,140021,1
0,645,877,5000,-3208,113,294,0,75,861,82324,1
1,595,617,1000,-4238,310,39,0,619,464,159830,1
0,702,659,4000,-6766,130,301,2,218,843,79640,1
1,742,561,6000,-7017,139,566,0,641,550,134010,1
1,535,448,1000,-8919,175,601,0,376,284,120554,1
1,677,557,1000,-8409,69,5,0,98,100,150127,1
0,751,476,11000,-7807,303,764,0,418,394,71019,0
1,575,386,9000,-9584,37,785,0,229,466,116408,0
1,463,562,8000,-9585,439,635,0,581,711,84476,1
0,601,37,2000,-25963,39,885,578,99,121,112603,1
0,492,119,3000,-13337,44,979,0,122,318,110985,0
0,488,153,5000,-17966,33,918,384,141,155,143907,1
0,448,65,0,-20105,38,962,810,96,200,136781,1
0,475,123,5000,-19717,37,939,878,114,254,85435,1
0,318,110,1000,-19795,34,968,890,109,131,96689,1
0,398,52,0,-18310,36,967,163,109,246,112870,1
0,567,83,4000,-21322,36,966,904,144,77,118540,1
